last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Kelly, Carson,608348,93,16.7,32.3,105.4,86.3,89.4,84.6,425,174,395,32,13.9,34.4,4,4.3,3.1
Andújar, Miguel,609280,53,13.9,28.3,106.7,85.9,89.6,86.9,422,144,422,20,16.4,37.7,2,3.8,3.1
Marte, Ketel,606466,163,10,28.8,115.9,89.2,92,90.5,390,154,387,66,21.1,40.5,6,3.7,3.1
Martínez, José,500874,61,6.2,31.1,107,87.9,89.2,86.8,428,142,408,20,11.5,32.8,3,4.9,3.1
Gurriel, Yuli,493329,189,13.9,34.4,107.1,89.3,91.4,88.4,420,183,394,69,17.9,36.5,7,3.7,3.0
Frazier, Adam,624428,175,12.3,34.9,107.5,85.5,89.5,83,415,160,401,44,10.9,25.1,7,4.0,3.0
Demeritte, Travis,641513,15,13.5,40.0,109.2,92.1,97.6,87.5,399,172,,8,15.1,53.3,1,6.7,3.0
Biggio, Cavan,624415,159,16.7,31.4,103.6,87.4,91.6,83.2,401,178,379,49,12.2,30.8,8,5.0,3.0
Hays, Austin,669720,99,11,27.3,106.9,87,88.8,86.5,407,149,375,31,12.3,31.3,4,4.0,3.0
Fowler, Dexter,451594,62,11.2,33.9,106.9,84.5,88.6,80,386,177,383,17,8.3,27.4,3,4.8,3.0
Romine, Austin,519222,84,7.7,33.3,111.6,87.9,91.7,87.9,397,143,389,40,14.2,47.6,4,4.8,3.0
Ward, Taylor,621493,66,10.4,31.8,108.6,91.1,94.2,87.5,394,169,,31,17.8,47.0,3,4.5,2.9
Marisnick, Jake,545350,23,7.2,30.4,107.9,87.1,92.4,84.4,369,126,359,7,10.3,30.4,1,4.3,2.9
Young, Andrew,670370,16,1.9,31.3,107.3,85.8,96.7,74.9,419,151,419,6,9.5,37.5,1,6.3,2.9
Riddle, JT,595375,54,6.8,16.7,106.5,88.8,94.4,86.8,417,134,417,15,11.0,27.8,2,3.7,2.9
Naylor, Josh,647304,85,7.8,28.2,108.8,86.8,91.6,85.6,444,141,444,29,15.7,34.1,3,3.5,2.9
Dubón, Mauricio,643289,124,16.7,40.3,106.3,86.2,89.7,82.8,414,194,380,38,10.4,30.6,5,4.0,2.8
Reyes, Victor,622682,157,10.7,39.5,108.6,90,92.1,88.7,416,168,394,65,14.8,41.4,6,3.8,2.8
Stallings, Jacob,607732,88,12.4,33.0,105,88.6,91,86,419,184,401,33,13.9,37.5,4,4.5,2.8
Mathias, Mark,664029,29,19.5,44.8,107.7,84.6,89,79.2,359,162,,7,11.5,24.1,1,3.4,2.8
Hamilton, Billy,571740,27,24.6,48.1,100.3,82.2,88.2,72.2,405,203,405,2,2.8,7.4,1,3.7,2.8
Bregman, Alex,608324,128,17.3,35.9,105.6,88.9,90.3,88.8,412,185,395,43,16.2,33.6,5,3.9,2.8
Heyward, Jason,518792,112,11.3,42.0,108.1,87.6,90.9,85.1,416,163,383,45,15.2,40.2,5,4.5,2.8
Rosario, Amed,642708,109,4.2,30.3,107.8,86.5,89.1,85.4,434,132,398,36,13.3,33.0,4,3.7,2.7
Wendle, Joey,621563,134,5.1,32.8,104.9,86.7,90.7,83.7,399,153,386,43,12.9,32.1,5,3.7,2.7
Bart, Joey,663698,62,12.6,29.0,109.5,89,95.6,85,402,143,,30,13.5,48.4,3,4.8,2.7
Hernández, César,514917,177,5.6,37.3,108.2,89.1,92.5,86.6,420,153,402,66,14.4,37.3,7,4.0,2.7
Iglesias, José,578428,126,7.6,43.7,110.2,86.2,91.5,82.5,396,155,386,46,16.7,36.5,4,3.2,2.7
Edman, Tommy,669242,158,8.2,31.0,109,86.5,92,84.3,412,142,395,53,14.2,33.5,6,3.8,2.6
Varsho, Daulton,662139,68,18.4,27.9,109.5,86.2,90.6,84.2,426,168,387,26,12.6,38.2,3,4.4,2.6
Velazquez, Andrew,623205,44,6.7,11.4,108.4,82.4,86.6,81.5,396,125,,7,4.8,15.9,2,4.5,2.6
Senzel, Nick,669222,56,16.3,33.9,106.7,88.3,92.2,84.5,373,181,373,19,15.2,33.9,2,3.6,2.6
Thomas, Lane,657041,23,15.4,30.4,108.4,91,96.6,84.6,390,160,390,9,14.1,39.1,1,4.3,2.5
Torres, Gleyber,650402,108,14.9,33.3,110.2,88.6,91.1,85.9,438,180,423,41,14.5,38.0,4,3.7,2.5
