last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Camarena, Daniel,547176,1,22.5,100.0,107.2,107.2,107.2,,416,416,416,1,16.7,100.0,1,100.0,33.3
Cruz, Oneil,665833,5,4.6,40.0,118.2,100.5,111,93.6,408,148,408,4,26.7,80.0,2,40.0,22.2
Means, John,607644,3,22.7,33.3,102.7,102.7,102.7,,388,388,,1,14.3,33.3,1,33.3,20.0
Thompson, Trayce,572204,17,16.9,47.1,109.7,92.3,100.4,83.1,425,230,398,10,16.7,58.8,6,35.3,17.1
Hicks, John,543308,23,22.8,30.4,108,90.6,97.5,82.3,408,215,380,8,10.0,34.8,5,21.7,16.1
Fortes, Nick,663743,23,24,43.5,107.5,91.3,92.5,97.1,413,201,403,12,21.1,52.2,5,21.7,14.7
Castellanos, Humberto,528748,6,6.5,66.7,99.2,81.9,97.2,66.6,391,179,391,3,37.5,50.0,1,16.7,14.3
Hermosillo, Michael,641684,24,30.4,29.2,108.8,89.3,97,77.3,441,226,429,8,10.0,33.3,5,20.8,13.2
Zunino, Mike,572287,202,23.2,31.7,117.3,90.7,100,81.4,472,196,403,95,13.5,47.0,49,24.3,13.1
Tatis Jr., Fernando,665487,329,13.8,33.1,116.6,93.9,99.9,87.9,477,186,416,183,16.7,55.6,70,21.3,12.8
Blankenhorn, Travis,663905,15,17.9,33.3,105.9,96.2,100.9,98.9,425,159,425,11,22.0,73.3,3,20.0,12.5
Allen, Austin,664119,5,1.4,60.0,106,94.2,94.3,93.9,373,205,373,2,11.1,40.0,1,20.0,12.5
Acuña Jr., Ronald,660670,217,18.2,39.6,117.9,93.8,97.9,88.4,481,201,416,119,19.2,54.8,44,20.3,12.2
Ohtani, Shohei,660271,350,16.6,35.4,119,93.6,100.4,85.9,470,200,416,187,15.7,53.4,78,22.3,12.2
Buxton, Byron,621439,173,13.3,35.3,115.6,92.5,97.9,86.9,457,186,417,93,19.0,53.8,31,17.9,12.2
Dalbec, Bobby,666915,262,17.3,36.3,115.6,92.4,97,86.6,453,197,403,126,13.6,48.1,53,20.2,11.7
Donaldson, Josh,518626,351,14.6,30.2,114.7,94.1,98.7,90.4,446,174,410,185,19.3,52.7,61,17.4,11.2
Perez, Salvador,521692,454,15.9,34.1,114.4,93,97.6,88.8,460,190,407,255,18.1,56.2,74,16.3,11.1
Judge, Aaron,592450,397,11.6,38.5,119,95.8,98.5,93.3,455,186,402,230,20.4,57.9,70,17.6,11.1
Harper, Bryce,547180,360,13.3,38.9,116.3,92.5,97.6,86.5,468,192,410,179,15.8,49.7,65,18.1,10.9
Hoskins, Rhys,656555,283,21.7,36.7,112.2,91.2,95.8,85.3,441,205,407,131,15.7,46.3,48,17.0,10.8
Guerrero, Vladimir,665489,496,9.4,33.7,117.4,95.1,98.5,93.4,465,173,409,274,23.1,55.2,75,15.1,10.7
Pinder, Chad,640461,153,7.4,36.6,112.2,92.6,98.7,87.1,462,161,412,83,18.7,54.2,25,16.3,10.7
